TIME,,CH1,,CH2,,CH3,,CH4,
4.11E-09,4110,4.725625,4725625,-0.004375,-4375,4.63875,4638750,0.2028125,202812.500000000000
4.19E-09,4190,4.7228125,4722812.5,0.019375,19375,4.63875,4638750,0.1984375,198437.500000000000
4.27E-09,4270,4.7125,4712500,0.0525,52500,4.6371875,4637187.5,0.198125,198125.000000000000
4.35E-09,4350,4.7190625,4719062.5,0.085,85000,4.64125,4641250,0.1815625,181562.500000000000
4.43E-09,4430,4.7190625,4719062.5,0.116875,116875,4.6409375,4640937.5,0.17625,176250.000000000000
4.51E-09,4510,4.7375,4737500,0.135,135000,4.6446875,4644687.5,0.1584375,158437.500000000000
4.59E-09,4590,4.7490625,4749062.5,0.1403125,140312.5,4.6446875,4644687.5,0.151875,151875.000000000000
4.67E-09,4670,4.770625,4770625,0.125,125000,4.648125,4648125,0.1365625,136562.500000000000
4.75E-09,4750,4.7728125,4772812.5,0.0975,97500,4.6471875,4647187.5,0.14,140000.000000000000
4.83E-09,4830,4.77875,4778750,0.0575,57500,4.650625,4650625,0.1375,137500.000000000000
4.91E-09,4910,4.7678125,4767812.5,0.0171875,17187.5,4.651875,4651875,0.15125,151250.000000000000
4.99E-09,4990,4.764375,4764375,-0.0203125,-20312.5,4.658125,4658125,0.15875,158750.000000000000
5.07E-09,5070,4.7475,4747500,-0.0425,-42500,4.661875,4661875,0.1846875,184687.500000000000
5.15E-09,5150,4.748125,4748125,-0.0515625,-51562.5,4.67125,4671250,0.200625,200625.000000000000
5.23E-09,5230,4.7459375,4745937.5,-0.0428125,-42812.5,4.678125,4678125,0.2259375,225937.500000000000
5.31E-09,5310,4.7628125,4762812.5,-0.0246875,-24687.5,4.689375,4689375,0.2353125,235312.500000000000
5.39E-09,5390,4.7696875,4769687.5,0.0034375,3437.5,4.6946875,4694687.5,0.253125,253125.000000000000
5.47E-09,5470,4.788125,4788125,0.029375,29375,4.701875,4701875,0.2521875,252187.500000000000
5.55E-09,5550,4.791875,4791875,0.0528125,52812.5,4.7021875,4702187.5,0.2546875,254687.500000000000
